Name,SAL_CODE,geo
4153,7981395,"list(c(28.0189439257624, 28.0189573368074, 28.0190082987787, 28.0189962288382, 28.0189439257624, -26.005504764209, -26.0055216386914, -26.0054746311987, -26.0054589620302, -26.005504764209))"
4156,7981395,"list(c(28.0192456742765, 28.0192738374712, 28.0193060239794, 28.0192818840982, 28.0192456742765, -26.0053215553869, -26.0053408405395, -26.0053046808757, -26.0052902170071, -26.0053215553869))"
4163,7981395,"list(c(28.0173564640393, 28.0173564640393, 28.0174181548466, 28.0174154726376, 28.0173564640393, -26.006130769955, -26.0061452337202, -26.0061404124653, -26.0061295646412, -26.006130769955))"
4182,7981395,"list(c(28.016589387401, 28.0165934107145, 28.0166416904768, 28.0166376671632, 28.016589387401, -26.0058082316101, -26.0058287219998, -26.005822695415, -26.0057973837553, -26.0058082316101))"
4196,7981395,"list(c(28.0158708738438, 28.0158842848889, 28.0159070836655, 28.0158976959339, 28.0158708738438, -26.0059200278886, -26.005939312943, -26.0059296704162, -26.0059103853603, -26.0059200278886))"
4209,7981395,"list(c(28.0156506537344, 28.015662723675, 28.0156841813471, 28.015668088093, 28.0156506537344, -26.0061622273901, -26.0061815124047, -26.0061706645844, -26.0061501742544, -26.0061622273901))"
4213,7981395,"list(c(28.0154173015501, 28.0154266892817, 28.0154736279394, 28.0154655813124, 28.0154173015501, -26.0062369568039, -26.0062550364937, -26.0062309302401, -26.0062140558596, -26.0062369568039))"
4236,7990695,"list(c(28.11501576804, 28.11501576804, 28.1150560011753, 28.1150586833843, 28.11501576804, -25.6758901101022, -25.6759118663956, -25.6759106577127, -25.6758901101022, -25.6758901101022))"
4239,7990695,"list(c(28.1149916281589, 28.1149969925769, 28.1150372257122, 28.1150358846077, 28.1149916281589, -25.6777345462032, -25.677750258839, -25.677736963532, -25.6777200422299, -25.6777345462032))"
4241,7990695,"list(c(28.1144190907304, 28.1144097029989, 28.114441889507, 28.1144539594476, 28.1144190907304, -25.6773634342045, -25.6774057375817, -25.6774057375817, -25.6773658515408, -25.6773634342045))"
4246,7990695,"list(c(28.1120733282038, 28.1120719870993, 28.1121175846526, 28.1121162435481, 28.1120733282038, -25.6778090693178, -25.6778465378839, -25.6778465378839, -25.6778090693178, -25.6778090693178))"
4254,7990695,"list(c(28.1106302997538, 28.1106262764403, 28.1106383463809, 28.1106437107989, 28.1106302997538, -25.6778531831207, -25.6778688957408, -25.6778725217297, -25.6778519744575, -25.6778531831207))"
4285,7985268,"list(c(27.9927233261659, 27.9927367372109, 27.9927702648236, 27.9927568537785, 27.9927233261659, -26.1980671656938, -26.1980804024025, -26.1980491156342, -26.1980370822595, -26.1980671656938))"
4286,7985268,"list(c(27.9928198856904, 27.9928064746453, 27.9928386611535, 27.9928520721986, 27.9928198856904, -26.1980491156342, -26.1980599456703, -26.1980900290987, -26.1980779957283, -26.1980491156342))"
4297,7991787,"list(c(28.2525743931959, 28.2525918275545, 28.2525676876733, 28.2525515944193, 28.2525743931959, -25.7198972711885, -25.7198948547156, -25.7198151110839, -25.7198199440328, -25.7198972711885))"
4318,7991787,"list(c(28.2573413072038, 28.2573413072038, 28.2573775170255, 28.257376175921, 28.2573413072038, -25.7190754290325, -25.7190947609471, -25.7190935527025, -25.7190766372772, -25.7190754290325))"
4323,7991787,"list(c(28.2548433858259, 28.2548433858259, 28.2549158054693, 28.2549144643648, 28.2548433858259, -25.7199076867438, -25.7199294349954, -25.7199270185232, -25.7199040620349, -25.7199076867438))"
4332,7991787,"list(c(28.2569357947434, 28.2569438413705, 28.2570819751347, 28.2570725874032, 28.2569357947434, -25.7215988387471, -25.7216447510652, -25.7216399181904, -25.7215915894321, -25.7215988387471))"
4342,7991787,"list(c(28.2565236290069, 28.256528993425, 28.2565491099926, 28.2565437455745, 28.2565236290069, -25.7211425920266, -25.721178838734, -25.7211764222872, -25.7211377591314, -25.7211425920266))"
4349,7630063,"list(c(27.826113964, 27.8261099406865, 27.8261367627767, 27.8261394449857, 27.826113964, -26.1234110148008, -26.1234278723067, -26.1234350969514, -26.1234182394465, -26.1234110148008))"
4367,7630317,"list(c(27.7745141506274, 27.7745221972545, 27.7746080279429, 27.7746013224204, 27.7745141506274, -26.0917541916304, -26.0917782803025, -26.0917674404007, -26.0917445561602, -26.0917541916304))"
